F1,F2,F3,F4,F5,F6,F7,Q1,Q1S1,Q1S2_1,Q1S2_2,Q1S2_3,Q1S2_4,Q1S2_5,Q1S2_6,Q1S2_7,Q1S2_8,Q1S2_9,Q2,Q2S1,Q2S2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3
1,46,2,9,2,2,3,2,8,,,,,,,,,,2,1,,"1,,,1,1,,,,",5,5,5,5,,,3
1,22,4,6,3,2,2,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,3,4,4,,,4
2,48,4,7,2,1,2,1,2,,,,,,,,,,8,,8,",,,,,1,,,",5,1,1,2,,,2
1,31,2,1,1,2,6,1,2,,,,,,,,,,2,2,,",,1,,,1,,,",5,1,1,2,,3,
2,51,4,6,2,1,6,5,,,,,,,,,,,9,,,",,,,,,,,1",5,5,5,5,,1,
2,50,2,7,2,1,3,2,3,,,,,,,,,,3,2,,"1,,1,,,1,1,,",5,3,5,1,,,2
1,29,2,10,3,2,6,4,,1,,,,,,,,,8,,8,",,,,1,,,,",3,2,2,2,3,,
2,55,4,4,1,1,2,1,1,,,,,,,,,,1,2,,",,,,,,,,",4,3,4,2,,5,
1,36,3,9,1,1,3,2,2,,,,,,,,,,8,,2,"1,,1,1,1,,,,",5,2,2,2,4,,
1,61,4,1,2,2,7,4,,,,,,,1,,,,8,,9,"1,,,,,,,,",2,1,1,1,,,4
2,65,4,7,1,1,2,2,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,1,4,2,,,5
1,62,3,3,1,1,9,1,1,,,,,,,,,,9,,,",,,,,,,,1",2,2,2,2,,5,
1,59,3,8,2,1,4,1,1,,,,,,,,,,1,2,,",1,,,1,1,,,",3,4,3,3,1,,
1,43,4,3,2,2,2,2,8,,,,,,,,,,8,,8,",,,,1,,,,",4,4,2,2,,,2
1,47,2,3,2,1,2,1,1,,,,,,,,,,9,,,",,,,,,,,1",5,4,3,2,,3,
1,43,4,2,1,2,2,1,1,,,,,,,,,,1,2,,",,,1,,,,,",5,4,5,2,1,,
2,49,2,6,1,1,9,4,,,,,,,,,,1,8,,8,",,,,,,,1,",3,3,4,3,3,,
1,44,4,9,2,2,2,5,,,,,,,,,,,9,,,",,,,1,,,,",5,3,3,3,,,1
2,78,4,7,2,1,2,2,2,,,,,,,,,,2,2,,"1,,,1,1,,,,",4,2,4,2,,,1
1,28,4,1,2,1,2,4,,,,,,,,,,1,9,,,",,,,,,,,1",3,3,3,3,,,2
1,46,2,9,2,1,1,2,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,4,4,2,1,,
2,58,2,3,2,2,8,1,2,,,,,,,,,,3,2,,",,,,,,,,",5,4,3,2,,1,
1,45,4,7,2,2,7,1,5,,,,,,,,,,6,1,,",1,,,,,,,",5,5,4,5,1,,
2,43,4,9,2,1,3,1,1,,,,,,,,,,1,2,,",,,,,,,1,",5,1,1,2,2,,
1,74,2,1,2,2,3,1,4,,,,,,,,,,8,,6,"1,,,,,,,,",4,3,1,2,,,5
2,57,4,1,2,1,9,2,1,,,,,,,,,,1,2,,",,,,,,,,",3,3,3,3,,,3
2,37,4,9,3,2,2,2,4,,,,,,,,,,1,2,,",,,,,1,,,",4,4,3,2,,4,
2,27,2,1,2,1,8,1,9,,,,,,,,,,9,,,",,,,,,,,1",5,4,2,2,,,4
2,30,3,4,1,1,2,1,1,,,,,,,,,,8,,3,",,,,,1,,,",5,2,2,2,,,4
2,66,4,6,2,2,2,1,2,,,,,,,,,,2,2,,"1,,,,1,,,,",2,2,2,2,,,1
2,46,4,6,3,2,7,1,1,,,,,,,,,,9,,,",,,,1,1,,,",4,3,3,4,,,5
2,60,4,2,2,1,3,3,,,1,,,,,,,,8,,8,",,,,1,,,,",3,3,2,2,,,4
1,25,4,1,1,2,3,4,,,1,,,,,,,,1,2,,",1,1,,,1,,,",5,3,3,2,,3,
2,26,4,7,2,2,4,3,,,1,,,,1,,,,1,2,,",,,,,,,1,",2,1,2,2,2,,
1,72,4,6,1,2,2,2,8,,,,,,,,,,8,,2,",,,,,,,1,",4,4,2,2,1,,
1,44,3,8,2,1,7,2,1,,,,,,,,,,9,,,"1,,,,,,,,",2,3,3,3,,,1
1,75,2,8,1,1,6,2,1,,,,,,,,,,1,1,,"1,,,,,,,,",2,2,4,2,,,1
2,51,3,1,1,2,4,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",4,3,4,2,,2,
1,51,4,2,2,1,6,1,9,,,,,,,,,,8,,1,",,,1,1,,,,",5,2,5,2,,5,
1,44,4,7,2,1,8,3,,,1,,,,,,,,1,2,,",1,,,,,,,",3,2,3,2,,,5
